prompt,baseline_score,tuned_score,delta
"function(fragmentOverride,state){ 			var fragment = baseUrl+( this.fragment = this.getFragment(fragmentOverride)); 			if(fragment){ 				var a=$('a[href=""'+fragment+'""]'); 				a.len",7.7748,7.7748,0.0000
"function deepLook(obj, types) {   if (typeof (obj) !== 'object') return obj;   for (var key in obj) {     if (!obj[key].type) {       obj[key] = deepLook(obj[key], types);     } el",8.6744,8.6744,0.0000
"function parseExpression(data, line) {     data = data.trim();      var lowerData = data.toLowerCase();     var positions = util.findPositions(lowerData, [         { 'start': '""', ",7.7040,7.7040,0.0000
"function skipUntil(predicate) {     return function (iterable) {         return __asyncGenerator(this, arguments, function* () {             var e_18, _a;             let i = 0",8.5217,8.6002,0.0785
function preparePath(path) { 		var parts = path.split('.') 		parts = parts.map(function (part) { 			return numericRegex.test(part) ? part : '\'' + escape(part) + '\'' 		}) 		return,7.3105,7.3105,0.0000
"function wrapContext(context) {   var retObj = {},       reservedRegexp = /^(topic|beforeEach|afterEach)$/,       key,       subcontext,       beforeFn = context.beforeEach,       ",7.9332,7.7596,-0.1736
function(cb) {             // Load policy modules             sails.log.verbose('Loading policy modules from app...');             sails.modules.loadPolicies(function modulesLoaded,7.6180,7.5628,-0.0552
"function forward(receiver, provider, keys) {   keys = keys || allKeys(provider);   keys = Array.isArray(keys) ? keys : [keys];    keys.forEach(function (key) {     var val = provid",9.0805,8.2062,-0.8742
function(app){          // Cache the instance.         var self = this;          // Insert the instance into app.locals so it can be used in views.         app.locals[self.options.,7.7230,6.0642,-1.6588
"function () {             var mapping = { };             _.each(sails.config.policies, function (_policy, controllerId) {                  // Accept `FooController` or `foo`       ",7.5835,7.3450,-0.2386
"function or(other) {     return function (source) {         return __asyncGenerator(this, arguments, function* () {             var e_28, _a;             let hasYieldedItem = f",8.1354,8.3519,0.2165
"function PrintCommand(args, define) {     if (args[args.length - 1] === "";"") {         this.noLine = true;         args = args.substr(-1);     } else this.noLine = false;      var ",8.3116,8.3116,0.0000
"function val(node, _val2) {             if (node && node.el) {                 var el = node.el;                 if (_val2 !== undefined) {                     el.value = _val2;   ",7.9075,7.9075,0.0000
function (params) {     var res = [];     if (typeof (params) === 'undefined') params = { displayEverything: false };     if (!this.registeredModels || Object.keys(this.registeredM,7.9787,8.4420,0.4634
"function(app, route){          var self = this;          var controller;         var controllerPath = self.options.controllersPath + route.controller;          // Load the controll",8.3637,7.0763,-1.2875
function ReadCommand(args) {     var parsed = new statements.ArgumentStatement(args);     for (var i = 0; i < parsed.args.length; i++) {         var placeVar = parsed.args[i];     ,8.5448,8.5448,0.0000
"function findLastOutside(data, items, index, exclude) {     var result, positionResult = {start: index ? index + 1 : data.length + 1, end: 0};      do {         result = findLast(d",6.7049,7.0424,0.3375
"function charAt(index) {     return value => value.length <= index ? undefined : value.charAt(index); }",8.0532,8.0532,0.0000
"function(data){ 			this.data = UObj.extend(this.data,data); 			return this.update(null,{ data: data }); 		}",7.7666,7.7666,0.0000
"function(value){ 		/*#if BROWSER*/ if(this._label) this._label.text(value); else /*#/if*/ 		this._label=$.create('label').attr('for',this.getAttr('id'))/*#if BROWSER*/.prependTo(th",6.7971,7.2844,0.4873
