prompt,baseline,grpo,ppo,delta_grpo,delta_ppo
function Server (opts) {  	let server = this; 	server.send = send; 	let isBusy = true; 	 	let queue = []; 	if (!!opts.dir) { 		try { 			fs.mkdirSync(opts.dir); // default './outbox,7.478,7.478,7.478,0.000,0.000
"function ShoppingCart (objGoogleCheckout) { 	var self = this; 	 	//todo: check the constructor name 	assert.ok(objGoogleCheckout, ""A GoogleCheckout object is the only required argu",7.921,7.921,7.921,0.000,0.000
"function(tag, props){ 	var konstructor = Element.Constructors[tag]; 	if (konstructor) return konstructor(props); 	if (typeof tag != 'string') return document.id(tag).set(props);  	",7.735,7.688,8.153,-0.047,0.418
"function verifyIntent(subject, op, target, data, cb) {   var type = (_.isString(target)) ? target : target.type;   var listeners = listenersFor(op, type);   if (listeners.length ==",7.856,7.535,6.659,-0.321,-1.197
function(app){          // Cache the instance.         var self = this;          // Insert the instance into app.locals so it can be used in views.         app.locals[self.options.,7.723,7.723,6.064,0.000,-1.659
"function save(done) {     if (process.browser) return done();      fs.writeFile(__dirname + '/../../data/filesystem.json', JSON.stringify(fileContents), function(err) {         if ",8.548,8.548,7.815,0.000,-0.733
function compileValue(value) { 		if (value.subtype === 'array') { 			return compileArray(value) 		} else if (value.subtype === 'object') { 			return compileObject(value) 		} else i,9.239,8.823,9.353,-0.416,0.115
"function errorHandler(response, error) {     response       .status(500)       .send(error !== undefined && error !== null ? error.toString() : '')   }",7.372,7.372,7.594,0.000,0.222
function (event) {             // Only pay attention to delegated route events             // if `policy` is declared in event.target             if ( !event.target || !event.targe,6.937,6.937,7.762,0.000,0.825
"function createEvent(data = null) {     let isDefaultPrevented = false;      // 返回对象     return Object.create(data, {         defaultPrevented: {             get() {               ",7.225,8.082,7.899,0.857,0.674
function (string) { // string.check check sting type and size              return ((typeof string === 'string' || string instanceof String)                     && string.length >= ,7.852,7.852,7.563,0.000,-0.290
"function PrintCommand(args, define) {     if (args[args.length - 1] === "";"") {         this.noLine = true;         args = args.substr(-1);     } else this.noLine = false;      var ",8.312,8.312,8.312,0.000,0.000
"function Service(name) {   debug('new service: %s', name);   assert(name, ""service not supplied with name"");    this.name       = name;   this.middleware = [];   this.uri        = ",7.980,8.418,7.980,0.438,0.000
"function emitValue() {     var arr = toArray();     marker = arr[arr.length - 1];     setTimeout(function() {       emitter.emit('value', arr);     }, 0);   }",8.447,8.853,9.179,0.406,0.732
"function parseLine(line, i, labels, notLineNumber, manager) {     line = line.trim();      // Is it an empty line?     if (line === """") return new EmptyStatement('empty');      if ",8.570,8.570,8.570,0.000,0.000
